Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2014-10-04,0.022438,0.049611,0.020635,0.020719,542.0,-1.0,0.04
2014-10-05,0.020722,0.103788,0.006898,0.019875,764.0,1021.0,0.06
2014-10-06,0.019867,0.114257,0.018762,0.024759,400.0,1173.0,0.07
2014-10-07,0.024797,0.07103,0.020033,0.020601,372.0,1681.0,0.05
2014-10-08,0.020597,0.062979,0.020402,0.030032,774.0,1569.0,0.04
2014-10-09,0.030015,0.057184,0.029993,0.033951,153.0,2537.0,0.04
2014-10-10,0.033919,0.055335,0.022908,0.023379,243.0,3149.0,0.04
2014-10-11,0.023532,0.047049,0.023054,0.028984,208.0,2372.0,0.04
2014-10-12,0.029008,0.051599,0.026756,0.02897,309.0,3168.0,0.04
2014-10-13,0.028922,0.05646,0.028221,0.030066,214.0,3400.0,0.04
2014-10-14,0.030164,0.047818,0.010015,0.010066,214.0,3785.0,0.03
2014-10-15,0.010068,0.046814,0.010068,0.012838,161.0,1345.0,0.03
2014-10-16,0.01283,0.043614,0.011404,0.011526,229.0,1825.0,0.03
2014-10-17,0.011532,0.037308,0.011393,0.019188,124.0,1757.0,0.02
2014-10-18,0.019199,0.037926,0.012183,0.015662,128.0,3081.0,0.03
2014-10-19,0.015654,0.034358,0.015547,0.015593,195.0,2665.0,0.02
2014-10-20,0.015581,0.030576,0.0152,0.020099,117.0,2803.0,0.02
2014-10-21,0.020077,0.030536,0.009925,0.010048,189.0,3783.0,0.02
2014-10-22,0.010039,0.029726,0.010037,0.019162,206.0,1991.0,0.02
2014-10-23,0.019152,0.028532,0.019014,0.026519,190.0,3993.0,0.02
2014-10-24,0.026532,0.032238,0.017971,0.021501,179.0,5752.0,0.03
2014-10-25,0.021517,0.033015,0.010889,0.020836,115.0,4841.0,0.02
2014-10-26,0.020849,0.033697,0.014789,0.021335,201.0,4865.0,0.02
2014-10-27,0.02134,0.039403,0.021098,0.038783,124.0,5158.0,0.03
2014-10-28,0.038808,0.039551,0.038749,0.039383,126.0,9702.0,0.04
2014-11-13,0.016389,0.016916,0.015251,0.016834,1.0,6439.0,0.02
2014-11-14,0.016741,0.040814,0.015395,0.03973,7.0,6636.0,0.03
2014-11-15,0.039913,0.159425,0.039331,0.150453,0.0,16162.0,0.1
2014-11-16,0.149892,0.151342,0.149841,0.150598,0.0,61873.0,0.15
2014-11-20,0.054329,0.060828,0.052217,0.052411,800.0,24419.0,0.06
2014-11-21,0.051199,0.051199,0.021636,0.021731,387.0,23147.0,0.04
2014-11-22,0.021753,0.051029,0.021623,0.035184,248.0,9982.0,0.04
2014-11-23,0.03521,0.04864,0.018832,0.031207,639.0,16438.0,0.03
2014-11-24,0.031154,0.038792,0.02625,0.034555,363.0,14792.0,0.03
2014-11-25,0.034592,0.038243,0.024595,0.024826,365.0,16753.0,0.03
2014-11-26,0.024883,0.025069,0.018284,0.01841,268.0,12263.0,0.02
2014-11-27,0.018516,0.019454,0.011325,0.012527,176.0,9280.0,0.02
2014-11-28,0.01253,0.018988,0.008892,0.00978,100.0,6382.0,0.01
2014-11-29,0.00951,0.014843,0.005453,0.005489,208.0,4929.0,0.01
2014-11-30,0.003783,0.018771,0.003762,0.010129,206.0,1997.0,0.01
2014-12-01,0.010134,0.01582,0.006957,0.012633,112.0,5459.0,0.01
2014-12-02,0.012633,0.015437,0.007783,0.012637,177.0,6955.0,0.01
2014-12-03,0.012651,0.016915,0.008535,0.00993,253.0,7091.0,0.01
2014-12-04,0.009949,0.010566,0.007693,0.007956,82.0,5671.0,0.01
2014-12-05,0.007952,0.012716,0.00789,0.008443,117.0,4607.0,0.01
2014-12-06,0.008441,0.010298,0.007817,0.007825,156.0,4977.0,0.01
2014-12-07,0.007826,0.021271,0.007804,0.009092,261.0,4717.0,0.01
2014-12-08,0.009089,0.014392,0.009089,0.011036,329.0,5560.0,0.01
2014-12-09,0.011036,0.011076,0.007308,0.00839,247.0,6871.0,0.01
2014-12-10,0.00839,0.011829,0.008299,0.009576,201.0,5314.0,0.01
2014-12-11,0.00952,0.011961,0.008802,0.010262,163.0,6124.0,0.01
2014-12-12,0.010687,0.010915,0.009388,0.00988,132.0,6985.0,0.01
2014-12-13,0.009848,0.009902,0.007361,0.008672,176.0,6546.0,0.01
2014-12-14,0.008655,0.01266,0.007413,0.010982,1510.0,5840.0,0.01
2014-12-15,0.010973,0.010992,0.005217,0.005937,200.0,7549.0,0.01
2014-12-16,0.005942,0.005968,0.004145,0.004214,58.0,4161.0,0.01
2014-12-17,0.004211,0.005435,0.003455,0.004808,204.0,3003.0,0.0
2014-12-18,0.004808,0.006139,0.004479,0.004487,43.0,3484.0,0.01
2014-12-19,0.004484,0.006481,0.003912,0.004195,61.0,3306.0,0.01
2014-12-20,0.004191,0.005454,0.003896,0.004055,72.0,3152.0,0.0
2014-12-21,0.00405,0.009144,0.003989,0.0089,501.0,3101.0,0.01
2014-12-22,0.008902,0.013858,0.007509,0.012159,668.0,6942.0,0.01
2014-12-23,0.012164,0.013425,0.006827,0.009893,1288.0,9623.0,0.01
2014-12-24,0.009888,0.020742,0.008901,0.012003,3313.0,7915.0,0.01
2014-12-25,0.011994,0.047127,0.011835,0.028871,3465.0,9700.0,0.03
2014-12-26,0.028884,0.039747,0.019121,0.019121,1276.0,23591.0,0.03
2014-12-27,0.019101,0.02977,0.012317,0.014386,2461.0,15721.0,0.02
2014-12-28,0.014399,0.02389,0.006324,0.012923,1853.0,11992.0,0.02
2014-12-29,0.012942,0.024137,0.00798,0.016805,4471.0,10889.0,0.02
2014-12-30,0.016807,0.023212,0.0118,0.016093,3321.0,14284.0,0.02
2014-12-31,0.016102,0.017532,0.010382,0.013261,4359.0,13816.0,0.01
2015-01-01,0.013268,0.019498,0.0113,0.013513,9979.0,11498.0,0.02
2015-01-02,0.013505,0.01576,0.01151,0.011521,1078.0,11816.0,0.01
2015-01-03,0.011514,0.015088,0.010987,0.011252,366.0,10170.0,0.01
2015-01-04,0.011254,0.0114,0.006619,0.010568,381.0,10043.0,0.01
2015-01-05,0.010603,0.01322,0.007425,0.008712,430.0,9547.0,0.01
2015-01-06,0.008716,0.009271,0.003561,0.00524,314.0,7907.0,0.01
2015-01-07,0.005238,0.009399,0.005183,0.007795,259.0,4805.0,0.01
2015-01-08,0.00779,0.008721,0.005792,0.006234,204.0,7231.0,0.01
2015-01-09,0.006212,0.008073,0.006203,0.006392,55.0,5827.0,0.01
