Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-06-19,0.001324,0.006359,0.000825,0.005737,29499.0,25102.0,0.0
2017-06-20,0.006102,0.007557,0.002029,0.005013,78244.0,115805.0,0.0
2017-06-21,0.005012,0.005012,0.00274,0.003029,5505.0,95670.0,0.0
2017-06-22,0.003029,0.003831,0.002417,0.003831,6789.0,58154.0,0.0
2017-06-23,0.003831,0.009371,0.002864,0.007132,57891.0,74001.0,0.01
2017-06-24,0.005872,0.010068,0.005872,0.009349,22334.0,114103.0,0.01
2017-06-25,0.009359,0.014138,0.008101,0.014138,27443.0,182962.0,0.01
2017-06-26,0.014212,0.033061,0.007882,0.014917,88362.0,279385.0,0.02
2017-06-27,0.01613,0.019808,0.00984,0.010601,29329.0,318633.0,0.01
2017-06-28,0.010677,0.012521,0.00687,0.00687,21382.0,212249.0,0.01
2017-06-29,0.006864,0.012572,0.006507,0.008331,10620.0,137259.0,0.01
2017-06-30,0.008347,0.010564,0.006317,0.007909,6436.0,167845.0,0.01
2017-07-01,0.007906,0.008399,0.005914,0.00646,9293.0,159865.0,0.01
2017-07-02,0.006459,0.00815,0.00633,0.007495,3840.0,131357.0,0.01
2017-07-03,0.007468,0.008162,0.005028,0.007893,6560.0,152679.0,0.01
2017-07-04,0.007919,0.007954,0.005223,0.00524,4159.0,162091.0,0.01
2017-07-05,0.005311,0.008484,0.004702,0.005932,7435.0,108695.0,0.01
2017-07-06,0.005934,0.007957,0.005919,0.006244,3173.0,121449.0,0.01
2017-07-07,0.006248,0.007936,0.005054,0.005992,4754.0,130324.0,0.01
2017-07-08,0.005153,0.008766,0.005095,0.005519,2892.0,107985.0,0.01
2017-07-09,0.005524,0.006228,0.005465,0.005465,1128.0,116329.0,0.01
2017-07-10,0.005476,0.005973,0.001278,0.002314,7263.0,115854.0,0.0
2017-07-11,0.002309,0.003718,0.002306,0.002861,1045.0,48983.0,0.0
2017-07-12,0.002856,0.005081,0.002609,0.003598,1692.0,60795.0,0.0
2017-07-13,0.003601,0.006067,0.003465,0.005085,4027.0,76877.0,0.0
2017-07-14,0.005082,0.008182,0.005072,0.008182,1678.0,108844.0,0.01
2017-07-15,0.00816,0.011345,0.005327,0.008317,6910.0,175193.0,0.01
2017-07-16,0.008294,0.008427,0.005616,0.005992,4894.0,178390.0,0.01
2017-07-17,0.005985,0.007597,0.005833,0.006762,4178.0,128999.0,0.01
2017-07-18,0.006779,0.008471,0.0061,0.00742,4579.0,146365.0,0.01
2017-07-19,0.007432,0.008069,0.00707,0.007235,2948.0,160665.0,0.01
2017-07-20,0.007214,0.007922,0.007097,0.007257,2852.0,156220.0,0.01
2017-07-21,0.007311,0.008067,0.005737,0.006819,3987.0,158466.0,0.01
2017-07-22,0.006817,0.007705,0.00368,0.007381,3113.0,147844.0,0.01
2017-07-23,0.007381,0.00792,0.005624,0.005696,1579.0,160250.0,0.01
2017-07-24,0.005689,0.008016,0.005642,0.007964,1540.0,123657.0,0.01
