Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
2017-04-27,0.099363,0.100716,0.098542,0.099122,1296770.0,-1.0,0.1
2017-04-28,0.099025,0.100885,0.092356,0.09946,1073510.0,3321940.0,0.1
2017-04-29,0.098629,0.102836,0.097034,0.100943,1381140.0,3313310.0,0.1
2017-04-30,0.100653,0.113851,0.100653,0.110483,1957730.0,3385940.0,0.11
2017-05-01,0.108305,0.113366,0.072363,0.089592,2052970.0,3647930.0,0.09
2017-05-02,0.089077,0.092413,0.073093,0.079731,1518350.0,3003920.0,0.08
2017-05-03,0.078325,0.092886,0.074118,0.090013,1552270.0,2644740.0,0.08
2017-05-04,0.090012,0.09354,0.087021,0.09093,1369460.0,3043520.0,0.09
2017-05-05,0.090918,0.100027,0.0781,0.088695,2470080.0,3078790.0,0.09
2017-05-06,0.088799,0.101402,0.081122,0.089958,2000030.0,3010940.0,0.09
2017-05-07,0.089958,0.095608,0.081991,0.088075,1545670.0,3054220.0,0.09
2017-05-08,0.087813,0.101167,0.086648,0.094162,2853520.0,2985790.0,0.09
2017-05-09,0.095597,0.100956,0.080785,0.083847,1813550.0,3254650.0,0.09
2017-05-10,0.08396,0.088303,0.074016,0.081132,855367.0,2862170.0,0.08
2017-05-11,0.079681,0.081854,0.065193,0.071709,731939.0,2720060.0,0.07
2017-05-12,0.072,0.07794,0.069827,0.070261,427550.0,2461240.0,0.07
2017-05-13,0.071606,0.078111,0.065966,0.07653,706005.0,2452540.0,0.07
2017-05-14,0.07653,0.085201,0.072474,0.075508,795206.0,2628070.0,0.08
2017-05-15,0.075615,0.078217,0.068478,0.072541,449341.0,2601300.0,0.07
2017-05-16,0.071387,0.075169,0.066761,0.073502,367740.0,2459410.0,0.07
2017-05-17,0.073926,0.075515,0.069733,0.071805,338856.0,7191760.0,0.07
2017-05-18,0.071812,0.08009,0.07109,0.07909,547986.0,6990950.0,0.08
2017-05-19,0.079271,0.082021,0.076747,0.077625,693374.0,7721460.0,0.08
2017-05-20,0.077711,0.07989,0.074225,0.076825,380722.0,7574090.0,0.08
2017-05-21,0.07726,0.086835,0.076245,0.083685,1097620.0,7535080.0,0.08
2017-05-22,0.084944,0.099424,0.077355,0.089868,1638790.0,8296880.0,0.09
2017-05-23,0.089459,0.187191,0.087432,0.1721,9200980.0,8752760.0,0.14
2017-05-24,0.174423,0.214611,0.15396,0.162375,6739030.0,17091300.0,0.18
2017-05-25,0.164223,0.193188,0.118975,0.128449,5891820.0,16108200.0,0.16
2017-05-26,0.136789,0.168792,0.085266,0.100548,2654500.0,13429000.0,0.13
2017-05-27,0.100678,0.11171,0.065701,0.107046,3104120.0,9899700.0,0.09
2017-05-28,0.112147,0.119583,0.081697,0.096593,2175260.0,11037700.0,0.1
2017-05-29,0.096008,0.106378,0.088283,0.103466,1108720.0,9456870.0,0.1
2017-05-30,0.104285,0.109375,0.088262,0.095159,1039060.0,10278100.0,0.1
2017-05-31,0.095247,0.103786,0.084052,0.103053,1366170.0,9394230.0,0.09
2017-06-01,0.101443,0.110711,0.098372,0.10858,1621030.0,10014400.0,0.1
2017-06-02,0.108734,0.13792,0.107266,0.131295,3657940.0,10746000.0,0.12
2017-06-03,0.129602,0.131362,0.109648,0.118755,1971820.0,12820900.0,0.12
2017-06-04,0.117581,0.121566,0.114372,0.11982,922276.0,11642000.0,0.12
2017-06-05,0.120203,0.126822,0.119061,0.124245,1238340.0,11912600.0,0.12
2017-06-06,0.124146,0.12571,0.115486,0.120852,1421120.0,12317700.0,0.12
2017-06-07,0.120335,0.121769,0.102308,0.102308,1094850.0,11954000.0,0.11
2017-06-08,0.100049,0.11327,0.088282,0.109887,1605610.0,9951180.0,0.1
2017-06-09,0.11132,0.120631,0.105295,0.114012,1550790.0,11085000.0,0.11
2017-06-10,0.113994,0.128111,0.10517,0.108111,2216930.0,11361100.0,0.12
2017-06-11,0.108115,0.121507,0.10444,0.118419,2260350.0,10783500.0,0.11
2017-06-12,0.119572,0.124731,0.101763,0.109097,1978040.0,11933700.0,0.11
2017-06-13,0.109244,0.1231,0.108226,0.121188,1725350.0,10907300.0,0.12
